LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
mal yang ingin aku	ceritakan	soal ini adalah Ronggur Panghutur. Aku tahu ia akan paham. Aku yakin ia bi	Novel	aku	pronomina	TRUE	
galaman yang ia ingin	ceritakan	, tetapi gadis itu belum cukup kuat untuk bercerita terlalu panjang. Ia mas	Cerpen	ia	pronomina	TRUE	
Oya, saya belum	ceritakan	, lintasan kabel interkom kamar sebelah itu persis melewati samping kamar s	Cerpen				
saya termasuk beruntung. Bagaimana jadinya jika saya sama seperti yang saya	ceritakan	di atas, umur 60 tahun masih juga belum tahu apa yang harus dicari. Dahulu	Populer	saya	pronomina	TRUE	
film Mah??bh??rata melalui VCD atau media lainnya. Apa yang dapat anak-anak	ceritakan	dari film yang ditonton? Karakter mana yang anak-anak kagumi?	Buku_Teks	anak-anak	nomina_kerabat	TRUE	not-referring-to-speaker
a kembali beberapa tahun kemudian untuk menetap di kota kabupaten. Itu saya	ceritakan	padanya, sekaligus mengucapkan maaf karena sama sekali belum pernah menyam	Cerpen	saya	pronomina	FALSE	
Seperti yang saya	ceritakan	di bagian awal bab ini, pada tahun 2006 pabrik Slickbar Indonesia pindah k	Biografi	saya	pronomina	TRUE	
ka dari nol untuk bisa menjadi profesional andal di industri ini. Saya akan	ceritakan	beberapa orang profesional di perusahaan saya yang kemudian berkembang beg	Biografi				
Ayah. Tentang si Kuning kucing kesayangan Ayah ini, di bagian lain akan aku	ceritakan	panjang lebar karena si Kuning ini telah menjadi bagian dari perjalanan hi	Biografi	aku	pronomina	FALSE	
dari perusahaan bus cuma dapat Rp 5.000, masih kurang Rp 10.000. Saya tidak	ceritakan	hal itu kepada teman-teman. Malu rasanya meminta kepada mereka. Di mana ha	Biografi				
mpi saya itu? Baik, saya	ceritakan	. Siang itu, dengan surat panggilan di tangan, saya mendatangi sebuah TPS.	Koran				
2. Bacalah buku tersebut, kemudian	ceritakan	kembali secara singkat:	Buku_Teks				
ikah, itulah yang Liman	ceritakan	. Gadis pujaannya perempuan menawan. Bertubuh sintal. Hanya sayang, nasib m	Cerpen	Liman	nomina_diri	TRUE	
Berkelompoklah dan	ceritakan	isi cerita fantasi dengan bahasamu sendiri. Menceritakan Isi cerita fantas	Buku_Teks				
Tetapi yang utama saya	ceritakan	adalah malamnya. Karena peristiwa malam itulah yang menyebabkan cerita ini	Cerpen	saya	pronomina	FALSE	
kami	ceritakan	pada Mbak. Juga pada pengacara. Meski pada pengacara sekalipun kami tidak	Novel				
, lalu	ceritakan	isinya di depan teman-temanmu.	Buku_Teks				
umah. Dengan bergegas, Bawang Putih kembali ke rumah. Sesampai di rumah dia	ceritakan	pengalamannya dan dibukanya bungkusan yang diberikan nenek. Ternyata di da	Buku_Teks				
pasti akan mengatakan apa yang kamu lihat tidak sama dengan lelaki yang aku	ceritakan	. Mereka yang kamu lihat hanya ketakutan, tetapi tidak dicekik keputusasaan	Cerpen	aku	pronomina	TRUE	
ehidupan yang telah kamu pelajari di kelas VII? Jika kamu masih ingat, coba	ceritakan	kepada teman sebangkumu hierarki organisasi kehidupan hingga terbentuk sua	Buku_Teks				
bertanya, kenapa Heartfield memilih mati seperti itu? Itulah yang ingin aku	ceritakan	. Aku punya sedikit cerita rahasia. Dan karena ini sebuah cerita pendek, ka	Cerpen	aku	pronomina	TRUE	
adi kekeliruan akan riwayat asal-usul nenek-moyang bangsa lamit yang mereka	ceritakan	dengan senang hati pada sejumlah orang di kedai kopi. Orang-orang di sini	Novel	mereka	pronomina	TRUE	
rik dengan apa yang saya	ceritakan	, karena semua itu hanyalah fiktif belaka. Sebuah ide gila dan konyol dalam	Cerpen	saya	pronomina	TRUE	
menopang kekuatan dagang Hindia Belanda. Setidaknya, gambaran itu bisa saya	ceritakan	sesaat melewati jantung kota, melintasi sisa peninggalan stasiun kereta Pu	Koran	saya	pronomina	FALSE	
Lalu, aku	ceritakan	pemandangan taman-taman yang diisi kegiatan kelompok-kelompok sekte yang a	Biografi				
Berkelompoklah dan	ceritakan	isi fabel dengan bahasamu sendiri Menceritakan Isi Fabel	Buku_Teks				
