ID	morphind	root_morphind	semantic_types	root_pos_morphind	n
157	ber+banyak<a>_VSA	banyak	reciprocal-collective-group-actions	a	1
298	ber+cincin<n>_VSA	cincin	grooming	n	1
510	ber+gelayut<v>_VSA	gelayut	positionals	v	24
1713	ber+setia<n>_VSA	setia	emotion-middle-2-participants	n	18
1978	ber+tukar<v>_VSA	tukar	reciprocal-naturally-reciprocal-events	v	323
1972	ber+tubuh<n>_VSA	tubuh	reflexive-indirect	n	225
1674	ber+senang<a>_VSA	senang	emotion-middle-1-participant	a	7
627	ber+harta<n>_VSA	harta	reflexive-indirect-middle	n	3
799	ber+kait<v>_VSA	kait	reciprocal-naturally-reciprocal-events	v	61
205	ber+besar<a>_VSA	besar	emotion-middle-1-participant	a	11
511	ber+gelegar<n>_VSA	gelegar	spontaneous-inanimate-state/activity-AUDITORY	n	2
1630	ber+seiring<n>_VSA	seiring	reciprocal-chaining	n	1
1373	ber+pesan<n>_VSA	pesan	emotion-middle-speech-action	n	295
502	ber+gayut<v>_VSA	gayut	positionals	v	2
1380	ber+piama<n>_VSA	piama	grooming	n	2
1570	ber+saku<n>_VSA	saku	grooming	n	1
1634	ber+sekolah<n>_VSA	sekolah	translational-motion	n	383
41	ber+alas<n>_VSA	alas	grooming	n	28
1889	ber+teman<n>_VSA	teman	reciprocal-naturally-reciprocal-events	n	168
992	ber+kopiah<n>_VSA	kopiah	grooming	n	8
2068	ber+zikir<n>_VSA	zikir	reflexive-indirect-middle	n	102
530	ber+gemeletak<v>_VSA	gemeletak	spontaneous-inanimate-state/activity-AUDITORY	v	1
1712	ber+seteru<n>_VSA	seteru	reciprocal-naturally-reciprocal-events	n	41
2020	ber+untung<n>_VSA	untung	reflexive-indirect-middle	n	603
847	ber+kayuh<n>_VSA	kayuh	non-trans-mot	n	1
393	ber+diplomasi<n>_VSA	diplomasi	reciprocal-collective-group-actions	n	9
1030	ber+kunangkunang<n>_VSA	kunangkunang	spontaneous-inanimate-state/activity-VISUAL	n	33
1355	ber+perahu<n>_VSA	perahu	translational-motion	n	5
